UFSoL,UDFS,U2FS,SRCFS,SOGFS,SOCFS,RUFS,NDFS,LLCFS,Inf_FS2020,Inf_FS,FSASL,FMIUFS,CNAFS,jelsr_lle,GLSPFS,LS,MCFS,NONE,REFS,AutoSpearman,SPEC,CFS,XGBF,RFF
15.0,2.0,2.0,2.0,2.0,14.0,10.0,29.0,1.0,1.0,29.0,1.0,2.0,51.0,2.0,1.0,6.0,58.0,2.0,2.0,3.0,30.0,51.0,2.0,7.0
44.0,2.0,6.0,13.0,1.0,18.0,5.0,28.0,1.0,53.0,25.0,18.0,9.0,6.0,15.0,6.0,8.0,36.0,3.0,11.0,2.0,10.0,1.0,1.0,18.0
6.0,2.0,2.0,1.0,2.0,25.0,81.0,10.0,82.0,82.0,80.0,2.0,2.0,2.0,1.0,9.0,15.0,60.0,1.0,1.0,7.0,4.0,2.0,1.0,78.0
1.0,2.0,2.0,1.0,1.0,1.0,2.0,38.0,1.0,1.0,1.0,36.0,1.0,37.0,2.0,2.0,23.0,22.0,1.0,1.0,16.0,25.0,1.0,1.0,1.0
56.0,1.0,3.0,1.0,2.0,2.0,66.0,25.0,2.0,1.0,1.0,2.0,1.0,66.0,9.0,2.0,60.0,46.0,1.0,1.0,2.0,11.0,2.0,4.0,2.0
8.0,1.0,1.0,1.0,1.0,2.0,2.0,12.0,2.0,3.0,3.0,1.0,1.0,9.0,5.0,29.0,7.0,43.0,1.0,1.0,1.0,20.0,1.0,1.0,2.0
1.0,1.0,1.0,1.0,3.0,33.0,17.0,2.0,33.0,22.0,22.0,1.0,1.0,1.0,2.0,27.0,26.0,115.0,1.0,1.0,16.0,33.0,1.0,2.0,33.0
1.0,1.0,2.0,1.0,70.0,19.0,17.0,3.0,13.0,40.0,40.0,1.0,1.0,4.0,2.0,13.0,21.0,89.0,1.0,1.0,18.0,20.0,2.0,1.0,2.0
1.0,4.0,1.0,1.0,1.0,1.0,7.0,11.0,16.0,2.0,29.0,1.0,1.0,1.0,4.0,2.0,42.0,21.0,2.0,1.0,1.0,1.0,1.0,13.0,6.0
29.0,4.0,1.0,1.0,4.0,28.0,24.0,61.0,49.0,49.0,49.0,49.0,1.0,36.0,41.0,20.0,16.0,35.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0
34.0,2.0,2.0,3.0,1.0,14.0,16.0,1.0,13.0,47.0,21.0,4.0,1.0,1.0,1.0,12.0,12.0,57.0,1.0,1.0,23.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,23.0,3.0,11.0,46.0,46.0,42.0,1.0,1.0,48.0,1.0,7.0,56.0,35.0,1.0,1.0,12.0,14.0,1.0,6.0,1.0
1.0,2.0,11.0,2.0,2.0,14.0,24.0,25.0,66.0,69.0,69.0,17.0,2.0,6.0,7.0,10.0,12.0,5.0,3.0,1.0,8.0,10.0,1.0,66.0,7.0
1.0,1.0,2.0,1.0,2.0,15.0,2.0,1.0,43.0,48.0,27.0,2.0,1.0,1.0,8.0,2.0,7.0,38.0,1.0,1.0,1.0,37.0,1.0,1.0,1.0
43.0,2.0,1.0,1.0,1.0,16.0,13.0,3.0,7.0,1.0,1.0,5.0,1.0,7.0,1.0,14.0,74.0,20.0,2.0,1.0,4.0,9.0,1.0,7.0,17.0
44.0,6.0,3.0,3.0,2.0,1.0,8.0,4.0,1.0,1.0,1.0,54.0,3.0,8.0,4.0,48.0,11.0,42.0,2.0,1.0,9.0,13.0,3.0,48.0,48.0
68.0,2.0,17.0,1.0,1.0,21.0,9.0,11.0,63.0,1.0,3.0,2.0,1.0,2.0,8.0,1.0,8.0,74.0,1.0,1.0,2.0,23.0,1.0,1.0,2.0
4.0,4.0,17.0,4.0,3.0,22.0,27.0,53.0,74.0,74.0,46.0,8.0,4.0,29.0,24.0,2.0,12.0,86.0,7.0,4.0,19.0,22.0,1.0,74.0,73.0
2.0,5.0,2.0,1.0,1.0,17.0,25.0,9.0,39.0,1.0,1.0,17.0,1.0,5.0,1.0,14.0,11.0,10.0,1.0,1.0,6.0,14.0,1.0,2.0,17.0
14.0,1.0,39.0,1.0,1.0,2.0,4.0,4.0,15.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,13.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0
64.0,4.0,5.0,5.0,19.0,19.0,1.0,3.0,19.0,68.0,45.0,2.0,4.0,7.0,67.0,1.0,10.0,11.0,4.0,2.0,5.0,5.0,3.0,1.0,15.0
56.0,1.0,2.0,1.0,1.0,18.0,1.0,23.0,2.0,56.0,56.0,1.0,1.0,1.0,2.0,1.0,10.0,66.0,1.0,1.0,1.0,8.0,1.0,1.0,3.0
1.0,1.0,1.0,1.0,1.0,51.0,1.0,1.0,1.0,58.0,28.0,1.0,1.0,48.0,6.0,16.0,7.0,11.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0
40.0,1.0,40.0,2.0,2.0,26.0,22.0,10.0,43.0,1.0,1.0,39.0,5.0,8.0,2.0,20.0,14.0,7.0,1.0,1.0,4.0,53.0,2.0,2.0,2.0
3.0,1.0,14.0,1.0,1.0,45.0,2.0,48.0,44.0,1.0,1.0,6.0,3.0,12.0,42.0,46.0,9.0,16.0,1.0,1.0,4.0,2.0,1.0,1.0,16.0
12.0,4.0,1.0,2.0,3.0,52.0,3.0,43.0,41.0,40.0,56.0,52.0,3.0,52.0,40.0,3.0,71.0,24.0,1.0,1.0,2.0,7.0,1.0,11.0,2.0
