UFSoL,UDFS,U2FS,SRCFS,SOGFS,SOCFS,RUFS,NDFS,LLCFS,Inf_FS2020,Inf_FS,FSASL,FMIUFS,CNAFS,jelsr_lle,GLSPFS,LS,MCFS,NONE,REFS,AutoSpearman,SPEC,CFS,XGBF,RFF
3.0,1.0,2.0,3.0,4.0,2.0,3.0,36.0,3.0,3.0,3.0,2.0,3.0,7.0,3.0,3.0,36.0,28.0,6.0,2.0,5.0,3.0,7.0,2.0,3.0
4.0,4.0,2.0,5.0,2.0,5.0,5.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,33.0,14.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0
2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,9.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,53.0,118.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0
4.0,3.0,4.0,1.0,6.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,3.0,67.0,83.0,7.0,2.0,2.0,2.0,4.0,3.0,3.0
7.0,1.0,2.0,6.0,4.0,3.0,1.0,6.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,64.0,15.0,2.0,1.0,5.0,6.0,2.0,2.0,3.0
2.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,18.0,1.0,5.0,1.0,3.0,2.0,3.0,1.0,2.0
3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,21.0,14.0,6.0,1.0,7.0,1.0,2.0,3.0,2.0
1.0,1.0,1.0,1.0,2.0,1.0,17.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,69.0,8.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0
5.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,25.0,8.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0
1.0,1.0,4.0,1.0,5.0,2.0,3.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,3.0,17.0,27.0,4.0,1.0,4.0,3.0,2.0,5.0,5.0
2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,73.0,46.0,2.0,1.0,2.0,6.0,1.0,1.0,1.0
2.0,1.0,4.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,33.0,13.0,4.0,1.0,1.0,2.0,3.0,4.0,4.0
2.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0,1.0,60.0,4.0,6.0,1.0,2.0,1.0,2.0,4.0,3.0
2.0,1.0,8.0,3.0,5.0,3.0,7.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,5.0,2.0,57.0,2.0,7.0,1.0,4.0,4.0,7.0,7.0,3.0
1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,13.0,6.0,2.0,3.0,3.0,7.0,1.0,3.0,1.0
3.0,1.0,6.0,1.0,4.0,1.0,4.0,1.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,6.0,23.0,4.0,5.0,2.0,2.0,1.0,3.0,1.0,2.0
3.0,2.0,1.0,3.0,1.0,1.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,6.0,81.0,90.0,5.0,1.0,3.0,1.0,2.0,3.0,3.0
6.0,3.0,3.0,4.0,7.0,3.0,1.0,5.0,2.0,3.0,3.0,4.0,2.0,2.0,7.0,5.0,97.0,6.0,10.0,3.0,5.0,5.0,5.0,3.0,4.0
3.0,1.0,3.0,1.0,2.0,1.0,4.0,4.0,3.0,2.0,2.0,3.0,5.0,1.0,4.0,3.0,25.0,9.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0
1.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,18.0,14.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0
4.0,2.0,1.0,2.0,1.0,3.0,5.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,59.0,20.0,5.0,3.0,5.0,2.0,1.0,1.0,2.0
1.0,3.0,3.0,1.0,2.0,2.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,57.0,79.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0
2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,77.0,80.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0
1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,137.0,39.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0
2.0,3.0,6.0,4.0,4.0,2.0,2.0,6.0,4.0,55.0,2.0,5.0,1.0,8.0,6.0,4.0,65.0,110.0,11.0,2.0,7.0,1.0,7.0,4.0,4.0
3.0,4.0,4.0,1.0,5.0,5.0,4.0,2.0,3.0,2.0,2.0,7.0,4.0,3.0,4.0,3.0,9.0,10.0,4.0,1.0,9.0,6.0,2.0,2.0,5.0
1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66.0,33.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0
3.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,6.0,1.0,1.0,6.0,1.0,8.0,3.0,1.0,34.0,108.0,10.0,1.0,10.0,1.0,2.0,1.0,8.0
7.0,1.0,3.0,2.0,3.0,2.0,2.0,6.0,3.0,1.0,1.0,5.0,5.0,1.0,3.0,3.0,59.0,21.0,6.0,1.0,2.0,2.0,2.0,4.0,8.0
6.0,4.0,5.0,2.0,3.0,3.0,5.0,8.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,5.0,53.0,50.0,2.0,1.0,4.0,1.0,4.0,4.0,4.0
1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,6.0,11.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0
1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,28.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0
3.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,75.0,72.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0
4.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,25.0,16.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0
4.0,1.0,1.0,4.0,3.0,2.0,5.0,7.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,82.0,24.0,4.0,4.0,2.0,1.0,3.0,90.0,3.0
1.0,2.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,4.0,4.0,4.0,5.0,4.0,2.0,1.0,17.0,10.0,4.0,3.0,5.0,2.0,1.0,3.0,2.0
2.0,1.0,5.0,7.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,6.0,64.0,17.0,5.0,4.0,4.0,1.0,3.0,1.0,3.0
2.0,2.0,3.0,3.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,63.0,49.0,7.0,1.0,6.0,2.0,1.0,1.0,2.0
1.0,1.0,3.0,1.0,4.0,2.0,2.0,3.0,1.0,5.0,3.0,3.0,1.0,1.0,2.0,2.0,11.0,21.0,5.0,1.0,5.0,2.0,2.0,1.0,4.0
6.0,5.0,6.0,7.0,5.0,3.0,9.0,6.0,3.0,1.0,4.0,4.0,6.0,4.0,3.0,8.0,94.0,39.0,6.0,4.0,4.0,2.0,4.0,3.0,4.0
2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,21.0,13.0,2.0,1.0,4.0,4.0,2.0,1.0,4.0
2.0,2.0,5.0,6.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,102.0,43.0,2.0,4.0,2.0,6.0,2.0,4.0,2.0
